Metric,Value
Total Electric Energy (kWh),46.99442977313053
Total Gas Energy (therms),46.41224002182483
Average Electric Power (kW),0.6527004135157018
Peak Electric Power (kW),2.0866513021191158
Peak Electric Power - 15 min avg (kW),2.0866513021191158
Peak Electric Power - 30 min avg (kW),1.8139422558346352
Peak Electric Power - 1 hour avg (kW),1.639196696444739
HVAC Heating Electric Energy (kWh),0.0
Other Electric Energy (kWh),35.488715330249434
Lighting Electric Energy (kWh),10.785714442881087
HVAC Cooling Electric Energy (kWh),0.7200000000000003
HVAC Heating Gas Energy (therms),43.416597426636635
Other Gas Energy (therms),1.1837856497595611
Water Heating Gas Energy (therms),1.811856945428627
Average Temperature - Indoor (C),20.116901573806715
Average Temperature - Foundation (C),-1.802939530081971
Average Temperature - Attic (C),-0.4286923823458493
"Component Load - Ducts, Heating (kWh)",-0.0
"Component Load - Ducts, Cooling (kWh)",-0.0
Unmet Heating Load (C-hours),0.0
Unmet Cooling Load (C-hours),0.0
Total HVAC Heating Delivered (kWh),763.4490269092923
Average HVAC Heating COP (-),0.5999999999999999
Average HVAC Heating SHR (-),1.0
Average HVAC Heating Duct Efficiency (-),1.0
Total HVAC Cooling Delivered (kWh),0.0
Average HVAC Cooling COP (-),0.0
Total Water Heating Delivered (kWh),41.102601256614165
Average Water Heating COP (-),0.0
Total Hot Water Unmet Demand (kWh),0.0
Total Hot Water Delivered (gal/day),57.49915755127476
Total Hot Water Delivered (kWh),31.621648261612012
Clothes Washer Electric Energy (kWh),0.40535529855054175
Clothes Dryer Electric Energy (kWh),1.5498559156455427
Dishwasher Electric Energy (kWh),1.4779105623219604
Refrigerator Electric Energy (kWh),4.833601970847876
Cooking Range Electric Energy (kWh),0.4812226787181594
Exterior Lighting Electric Energy (kWh),0.5144881112360474
Indoor Lighting Electric Energy (kWh),6.937889677167392
Basement Lighting Electric Energy (kWh),3.33333665447765
MELs Electric Energy (kWh),26.740768904165353
Clothes Dryer Gas Energy (therms),0.7025629710414016
Cooking Range Gas Energy (therms),0.4812226787181594
Clothes Washer Cycles,6.0
Clothes Dryer Cycles,6.0
Dishwasher Cycles,6.0
Cooking Range Cycles,16.0
