都道府県コード,都道府県,豚【頭】,牛合計【頭】,成牛_計【頭】,成牛_和牛_小計【頭】,成牛_和牛_めす【頭】,成牛_和牛_去勢【頭】,成牛_和牛_おす【頭】,成牛_乳牛_小計【頭】,成牛_乳牛_めす【頭】,成牛_乳牛_去勢【頭】,成牛_乳牛_おす【頭】,成牛_交雑牛_小計【頭】,成牛_交雑牛_めす【頭】,成牛_交雑牛_去勢【頭】,成牛_交雑牛_おす【頭】,成牛_その他の牛_小計【頭】,成牛_その他の牛_めす【頭】,成牛_その他の牛_去勢【頭】,成牛_その他の牛_おす【頭】,子牛【頭】,馬【頭】,豚【t】,牛合計【t】,成牛_計【t】,成牛_和牛_小計【t】,成牛_和牛_めす【t】,成牛_和牛_去勢【t】,成牛_和牛_おす【t】,成牛_乳牛_小計【t】,成牛_乳牛_めす【t】,成牛_乳牛_去勢【t】,成牛_乳牛_おす【t】,成牛_交雑牛_小計【t】,成牛_交雑牛_めす【t】,成牛_交雑牛_去勢【t】,成牛_交雑牛_おす【t】,成牛_その他の牛_小計【t】,成牛_その他の牛_めす【t】,成牛_その他の牛_去勢【t】,成牛_その他の牛_おす【t】,子牛【t】,馬【t】,枝肉総生産量【t】
1,全国,1247064,95740,95296,45855,20980,24856,19,25591,14354,11160,77,22984,11152,11830,2,866,50,811,5,444,805,97520.4,43814.3,43770,21952.9,8956.4,12989.7,6.8,9416.2,4355,5035.4,25.8,12024.1,5441.1,6582.2,0.8,376.9,24.2,350.5,2.2,44.3,335.8,141670.4
2,北海道,112256,19787,19609,1367,636,728,3,14701,7367,7321,13,3507,1236,2271,-,34,14,20,-,178,7,8778.4,8095.6,8077.8,653,271.5,380.5,1.1,5542.7,2235.1,3303.2,4.3,1866.6,603,1263.6,-,15.4,6.8,8.6,-,17.7,2.9,16876.9
3,青森県,91205,1942,1937,326,138,188,-,966,149,817,-,641,405,236,-,4,2,2,-,5,84,7132.2,902.2,901.7,157.2,58.9,98.2,-,413.8,45.2,368.6,-,328.9,197.6,131.3,-,1.8,1,0.9,-,0.5,35,8069.5
4,岩手県,28511,1376,1375,894,460,432,2,166,159,7,-,312,79,233,-,3,-,3,-,1,-,2229.6,643.8,643.7,422.8,196.4,225.8,0.7,51.4,48.2,3.2,-,168.2,38.5,129.6,-,1.3,-,1.3,-,0.1,-,2873.4
5,宮城県,25269,2001,1998,1418,536,882,-,404,284,119,1,175,68,107,-,1,-,1,-,3,-,1976,923.4,923.1,689.8,228.8,460.9,-,140.2,86.2,53.7,0.3,92.7,33.2,59.5,-,0.4,-,0.4,-,0.3,-,2899.4
6,秋田県,25710,423,423,369,99,270,-,2,2,-,-,52,46,6,-,-,-,-,-,-,20,2010.5,209.8,209.8,183.4,42.3,141.1,-,0.6,0.6,-,-,25.8,22.4,3.3,-,-,-,-,-,-,8.3,2228.6
7,山形県,30816,1476,1476,1269,1008,260,1,15,11,4,-,192,42,150,-,-,-,-,-,-,24,2409.8,675.6,675.6,566.5,430.3,135.9,0.4,5.1,3.3,1.8,-,104,20.5,83.5,-,-,-,-,-,-,10,3095.5
8,福島県,17156,293,292,254,160,94,-,8,6,2,-,30,30,-,-,-,-,-,-,1,165,1341.6,134.9,134.8,117.4,68.3,49.1,-,2.7,1.8,0.9,-,14.6,14.6,-,-,-,-,-,-,0.1,68.8,1545.3
9,茨城県,77246,4042,3948,1255,522,733,-,1833,1419,413,1,831,473,358,-,29,1,28,-,94,3,6040.6,1675,1665.7,605.9,222.8,383.1,-,617.2,430.5,186.3,0.3,430,230.8,199.2,-,12.6,0.5,12.1,-,9.4,1.3,7716.9
10,栃木県,29039,1111,1100,321,208,113,-,323,291,32,-,456,197,259,-,-,-,-,-,11,-,2270.8,491.9,490.8,147.8,88.8,59.1,-,102.7,88.3,14.4,-,240.2,96.1,144.1,-,-,-,-,-,1.1,-,2762.7
